config,question_id,SampleNurse003
config,mode,rb
config,num_options,5
config,num_correct,1
qtextL,ja,"【感染対策】手指衛生の方法について適切な記述を __SELTYPE__."
option,01,C,"手が目に見えて汚れている場合は、流水と石けんで洗う"
option,01,W,"手が目に見えて汚れている場合も、乾いた布で拭くだけでよい"
feedback,01,"目に見える汚れがある場合は、流水と石けんによる手洗いが必要です。"
option,02,C,"目に見える汚れがない多くの臨床場面では、アルコール手指消毒薬を使用できる"
option,02,W,"目に見える汚れがない場合でも、アルコール手指消毒薬は使用してはならない"
feedback,02,"手が目に見えて汚れていない多くの臨床場面では、擦式アルコール製剤が利用されます。"
option,03,C,"手指消毒薬は、手指全体へ行き渡るように擦り込む"
option,03,W,"手指消毒薬は、指先だけに少量付ければ十分である"
feedback,03,"指先、指間、手背などを含め、手指全体へ十分に行き渡らせます。"
option,04,C,"手指衛生に必要な物品は、ケアを行う場所で利用しやすくする"
option,04,W,"手指衛生用品は、患者ケア区域から離れた場所だけに置く"
feedback,04,"必要なタイミングで実施できるよう、手指衛生用品へのアクセスを確保します。"
option,05,C,"手指衛生後は、手が乾いてから患者や物品に触れる"
option,05,W,"手指消毒薬が濡れたままでも、すぐ手袋を着用する"
feedback,05,"擦式製剤は乾くまで擦り込み、手が乾いてから次の操作へ進みます。"
