config,question_id,SampleNurse007
config,mode,rb
config,num_options,5
config,num_correct,1
qtextL,ja,"【感染対策】呼吸器衛生・咳エチケットについて適切な記述を __SELTYPE__."
option,01,C,"咳やくしゃみの際は、口と鼻を覆う"
option,01,W,"咳やくしゃみの際は、口と鼻を覆わない"
feedback,01,"呼吸器分泌物の飛散を減らすため、咳やくしゃみの際は口と鼻を覆います。"
option,02,C,"使用したティッシュは、手を触れずに廃棄できる容器などへ捨てる"
option,02,W,"使用したティッシュは、共用の机に置く"
feedback,02,"使用済みティッシュは適切に廃棄し、周囲の汚染を防ぎます。"
option,03,C,"呼吸器分泌物に触れた後は、手指衛生を行う"
option,03,W,"呼吸器分泌物に触れた後でも、手指衛生は不要である"
feedback,03,"鼻をかんだ後など、呼吸器分泌物に触れた後は手指衛生を行います。"
option,04,C,"呼吸器症状がある人には、状況に応じてマスク着用を案内する"
option,04,W,"呼吸器症状がある人には、マスクを外すよう案内する"
feedback,04,"耐えられる場合のマスク着用など、飛沫拡散を減らす行動を案内します。"
option,05,C,"可能であれば、呼吸器症状がある患者と他の患者との距離を確保する"
option,05,W,"呼吸器症状がある患者を、待合室で他の患者と密集させる"
feedback,05,"施設の状況に応じ、早期把握や空間的分離などで曝露機会を減らします。"
