config,question_id,SampleNurse002
config,mode,rb
config,num_options,5
config,num_correct,1
qtextL,ja,"【感染対策】手指衛生のタイミングについて適切な記述を __SELTYPE__."
option,01,C,"患者に触れる前には手指衛生を行う"
option,01,W,"患者に触れる前の手指衛生は不要である"
feedback,01,"患者に触れる前は、手指衛生を行う重要なタイミングです。"
option,02,C,"患者に触れた後には手指衛生を行う"
option,02,W,"患者に触れた後でも、手が乾いていれば手指衛生は不要である"
feedback,02,"患者に触れた後は、患者や周囲への微生物伝播を防ぐため手指衛生を行います。"
option,03,C,"清潔操作や無菌操作の前には手指衛生を行う"
option,03,W,"清潔操作や無菌操作の後だけ手指衛生を行えばよい"
feedback,03,"清潔操作・無菌操作の前に手指衛生を行い、患者を感染から守ります。"
option,04,C,"血液や体液に触れた可能性がある場合、その後に手指衛生を行う"
option,04,W,"血液や体液に触れても、手袋を着けていれば手指衛生は不要である"
feedback,04,"体液曝露の後は、手袋の使用にかかわらず手指衛生が必要です。"
option,05,C,"患者周囲の物品に触れた後にも手指衛生を行う"
option,05,W,"患者周囲の物品だけに触れた場合、手指衛生は不要である"
feedback,05,"患者のベッド周囲や医療機器などに触れた後も、手指衛生のタイミングです。"
