config,question_id,SampleNurse009
config,mode,rb
config,num_options,5
config,num_correct,1
qtextL,ja,"【感染対策】接触予防策について適切な記述を __SELTYPE__."
option,01,C,"接触予防策は、標準予防策に追加して実施する"
option,01,W,"接触予防策を行う場合は、標準予防策を中止する"
feedback,01,"感染経路別予防策は標準予防策に追加して行います。"
option,02,C,"患者や患者周囲への接触が予想される場合、手袋やガウンを適切に使用する"
option,02,W,"患者周囲への接触が予想されても、手袋やガウンは使用しない"
feedback,02,"接触の種類と汚染リスクに応じて、入室時などに手袋・ガウンを使用します。"
option,03,C,"病室を出る前に、汚染した個人防護具を適切に外す"
option,03,W,"汚染した手袋のまま病室外の共用物品に触れる"
feedback,03,"汚染した個人防護具を適切な場所で外し、病室外への汚染拡大を防ぎます。"
option,04,C,"患者ケア後や患者周囲へ触れた後は、手指衛生を行う"
option,04,W,"接触予防策では、患者ケア後の手指衛生を省略する"
feedback,04,"個人防護具を外した後を含め、必要なタイミングで手指衛生を行います。"
option,05,C,"患者移動は、医療上必要な範囲に調整する"
option,05,W,"接触予防策が必要な患者を、目的なく院内各所へ移動させる"
feedback,05,"不要な移動や搬送を減らし、移動時は感染伝播を防ぐ措置を講じます。"
