config,question_id,SampleNurse008
config,mode,rb
config,num_options,5
config,num_correct,1
qtextL,ja,"【感染対策】患者ケア用器材について適切な記述を __SELTYPE__."
option,01,C,"再使用する器材は、患者間で適切に洗浄・消毒または滅菌する"
option,01,W,"再使用する器材は、患者間で処理せずそのまま使用する"
feedback,01,"再使用可能な器材は、用途と感染リスクに応じて患者間で再処理します。"
option,02,C,"単回使用器材は、定められた使用方法に従う"
option,02,W,"単回使用器材は、洗浄せず何度でも再使用する"
feedback,02,"器材の表示と施設の手順に従い、単回使用器材を不適切に再使用しません。"
option,03,C,"汚染した器材は、周囲や人を汚染しないように取り扱う"
option,03,W,"汚染した器材は、清潔な器材と混ぜて運ぶ"
feedback,03,"汚染器材は、環境や人への微生物伝播を防ぐ方法で回収・運搬します。"
option,04,C,"器材の消毒では、製品や施設で定めた濃度と接触時間を守る"
option,04,W,"器材の消毒では、消毒薬の濃度や接触時間を確認しない"
feedback,04,"消毒効果を得るため、対象物と製品に応じた使用条件を守ります。"
option,05,C,"患者専用にできる器材は、必要に応じて専用化を検討する"
option,05,W,"接触予防策中でも、器材は処理せず他患者と共用する"
feedback,05,"器材の専用化または患者間の適切な再処理により、接触伝播を防ぎます。"
