config,question_id,SampleNurse004
config,mode,rb
config,num_options,5
config,num_correct,1
qtextL,ja,"【感染対策】手袋の使用に関する次の記述について答えよ。__SELPROMPT__"
option,01,C,"血液や体液に触れる可能性がある場合は、手袋を使用する"
option,01,W,"血液や体液に触れる可能性があっても、手袋は使用しない"
feedback,01,"血液・体液、粘膜、損傷皮膚などへの接触が予想される場合は手袋を使用します。"
option,02,C,"手袋を外した直後には手指衛生を行う"
option,02,W,"手袋を外した後は、手指衛生を省略できる"
feedback,02,"手袋には微小な破損や脱着時の汚染があり得るため、外した直後に手指衛生を行います。"
option,03,C,"同じ手袋を着けたまま複数の患者をケアしない"
option,03,W,"手袋が破れていなければ、同じ手袋で複数の患者をケアしてよい"
feedback,03,"手袋は患者間で交換し、交差感染を防ぎます。"
option,04,C,"同じ患者でも、汚染部位から清潔部位へ移るときは手袋を交換する"
option,04,W,"同じ患者であれば、汚染部位から清潔部位へ移っても手袋を交換しない"
feedback,04,"同一患者のケアでも、汚染部位から清潔部位へ移る際は手袋を交換します。"
option,05,C,"手袋の使用は、必要な手指衛生の代わりにはならない"
option,05,W,"手袋を使用すれば、すべての手指衛生を省略できる"
feedback,05,"手袋を使用しても、着用前後など必要なタイミングの手指衛生は省略できません。"
