config,question_id,SampleNurse006
config,mode,rb
config,num_options,5
config,num_correct,1
qtextL,ja,"【感染対策】鋭利器材の安全な取扱いに関する次の記述について答えよ。__SELPROMPT__"
option,01,C,"使用済み注射針のリキャップは、原則として行わない"
option,01,W,"使用済み注射針は、両手で必ずリキャップする"
feedback,01,"針刺し防止のため、使用済み注射針のリキャップは原則として避けます。"
option,02,C,"使用済みの鋭利器材は、耐貫通性の専用容器へ速やかに廃棄する"
option,02,W,"使用済みの鋭利器材は、一般ごみ箱へ廃棄する"
feedback,02,"使用場所の近くに専用容器を配置し、使用後は速やかに廃棄します。"
option,03,C,"使用済み注射針を手で曲げたり折ったりしない"
option,03,W,"使用済み注射針は、廃棄前に手で曲げる"
feedback,03,"針を手で曲げる、折る、外すなどの危険な操作は避けます。"
option,04,C,"安全機構付き器材が利用できる場合は、その適切な使用を検討する"
option,04,W,"安全機構付き器材は、針刺し防止には利用しない"
feedback,04,"安全機構付き器材は、適切な教育とともに針刺し防止へ活用します。"
option,05,C,"針刺しが起きた場合は、施設の手順に沿って速やかに報告・対応する"
option,05,W,"針刺しが起きても、出血が少なければ報告しない"
feedback,05,"針刺し・切創時は直ちに所定の初期対応と報告を行い、曝露後評価につなげます。"
