config,question_id,SampleNurse005
config,mode,rb
config,num_options,5
config,num_correct,1
qtextL,ja,"【感染対策】個人防護具について適切な記述を __SELTYPE__."
option,01,C,"個人防護具は、予想される曝露の種類と程度に応じて選択する"
option,01,W,"個人防護具は、処置内容にかかわらず常に同じ組合せを使用する"
feedback,01,"個人防護具は、血液・体液の飛散や接触などのリスク評価に基づいて選びます。"
option,02,C,"衣服や皮膚への汚染が予想される場合は、ガウンやエプロンを検討する"
option,02,W,"衣服への体液汚染が予想されても、ガウンやエプロンは不要である"
feedback,02,"衣服や露出皮膚への曝露が予想される場合、ガウン等を使用します。"
option,03,C,"顔への飛散が予想される場合は、マスクや眼の防護具を使用する"
option,03,W,"顔への血液飛散が予想される場合でも、眼の防護は不要である"
feedback,03,"鼻・口・眼の粘膜への飛散リスクに応じて、マスク、ゴーグル、フェイスシールド等を使用します。"
option,04,C,"個人防護具は、汚染面へ不用意に触れないように外す"
option,04,W,"個人防護具は、汚染面をつかんで外す"
feedback,04,"脱衣時の自己汚染を防ぐため、汚染面への接触を避けて外します。"
option,05,C,"個人防護具を外して廃棄した後は、手指衛生を行う"
option,05,W,"個人防護具を外した後の手指衛生は不要である"
feedback,05,"個人防護具を外した後は、手指衛生を行って一連の操作を終えます。"
